Index,Kollisionen
0,0
1,5
2,4
3,3
4,2
5,1
6,0
7,4
8,3
9,2
10,1
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,4
33,3
34,2
35,1
36,0
37,1
38,0
39,0
40,1
41,0
42,5
43,4
44,3
45,2
46,1
47,0
48,6
49,5
50,4
51,3
52,2
53,1
54,0
55,2
56,1
57,0
58,0
59,0
60,2
61,1
62,0
63,1
64,0
65,4
66,3
67,2
68,1
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,3
83,2
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,3
96,2
97,1
98,0
99,0
